Date,@YEAR,DOY,DAS,SWTD,SWXD,ROFC,DRNC,PREC,IR#C,IRRC,DTWT,MWTD,TDFD,TDFC,ROFD,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,ET,LAID,AGB
05/23/2005,2005,143,30,441,184,11,13,68,1,12,100,0,0,0,0,0.219,0.411,0.441,0.468,0.469,0.454,0.455,1.881,0.36,175
05/24/2005,2005,144,31,439,182,11,13,68,1,12,100,0,0,0,0,0.204,0.404,0.439,0.468,0.469,0.454,0.455,1.739,0.41,187
05/25/2005,2005,145,32,444,187,11,13,75,1,12,100,0,0,0,0,0.322,0.4,0.437,0.468,0.469,0.454,0.455,2.515,0.47,218
05/26/2005,2005,146,33,442,185,11,13,75,1,12,100,0,0,0,0,0.299,0.393,0.435,0.467,0.469,0.454,0.455,2.398,0.58,273
05/27/2005,2005,147,34,439,182,11,13,75,1,12,100,0,0,0,0,0.275,0.386,0.432,0.467,0.469,0.454,0.454,2.555,0.69,337
05/28/2005,2005,148,35,437,180,11,13,75,1,12,100,0,0,0,0,0.254,0.378,0.428,0.467,0.469,0.454,0.454,1.748,0.8,401
05/29/2005,2005,149,36,437,180,11,13,77,1,12,100,0,0,0,0,0.27,0.374,0.426,0.467,0.468,0.454,0.454,2.089,0.92,475
05/30/2005,2005,150,37,435,178,11,13,77,1,12,100,0,0,0,0,0.25,0.369,0.423,0.466,0.468,0.454,0.454,2.4,1.07,559
05/31/2005,2005,151,38,449,192,12,13,94,1,12,100,0,0,0,0.36,0.417,0.433,0.42,0.466,0.468,0.454,0.454,3.286,1.16,620
06/01/2005,2005,152,39,447,190,12,13,96,1,12,100,0,0,0,0,0.406,0.43,0.416,0.466,0.468,0.454,0.454,3.286,1.27,685
06/02/2005,2005,153,40,444,187,12,13,96,1,12,100,0,0,0,0,0.369,0.424,0.412,0.465,0.468,0.454,0.454,3.125,1.38,757
06/03/2005,2005,154,41,457,200,13,13,114,1,12,100,0,0,0,1.75,0.408,0.454,0.456,0.474,0.468,0.454,0.454,5.636,1.51,850
06/04/2005,2005,155,42,464,207,17,18,135,1,12,94,0,0,0,3.38,0.435,0.454,0.449,0.479,0.48,0.464,0.464,5.589,1.65,947
06/05/2005,2005,156,43,458,201,17,19,135,1,12,99,0,0,0,0,0.432,0.448,0.439,0.471,0.474,0.459,0.459,6.833,1.78,1041
06/06/2005,2005,157,44,451,194,17,19,135,1,12,100,0,0,0,0,0.423,0.437,0.425,0.465,0.47,0.455,0.455,4.795,1.85,1095
06/07/2005,2005,158,45,446,189,17,19,135,1,12,100,0,0,0,0,0.382,0.427,0.416,0.463,0.469,0.455,0.455,4.789,1.93,1154
06/08/2005,2005,159,46,441,184,17,19,135,1,12,100,0,0,0,0,0.343,0.417,0.406,0.461,0.469,0.455,0.455,2.006,2.03,1236
06/09/2005,2005,160,47,454,197,18,19,151,1,12,100,0,0,0,1,0.425,0.456,0.438,0.461,0.469,0.455,0.455,3.924,2.16,1340
06/10/2005,2005,161,48,455,198,18,19,156,1,12,100,0,0,0,0.17,0.437,0.452,0.45,0.463,0.466,0.453,0.453,5.909,2.28,1441
06/11/2005,2005,162,49,451,193,18,19,157,1,12,100,0,0,0,0,0.433,0.444,0.441,0.458,0.463,0.45,0.45,2.539,2.47,1611
06/12/2005,2005,163,50,448,191,18,19,157,1,12,100,0,0,0,0,0.412,0.44,0.437,0.456,0.462,0.45,0.45,5.225,2.57,1697
06/13/2005,2005,164,51,443,186,18,19,157,1,12,100,0,0,0,0,0.369,0.43,0.428,0.453,0.461,0.45,0.45,5.812,2.68,1799
06/14/2005,2005,165,52,437,180,18,19,157,1,12,100,0,0,0,0,0.327,0.417,0.418,0.449,0.459,0.45,0.45,6.13,2.8,1914
06/15/2005,2005,166,53,431,174,18,19,157,1,12,100,0,0,0,0,0.289,0.403,0.405,0.445,0.457,0.45,0.45,5.673,2.99,2096
06/16/2005,2005,167,54,438,181,18,19,171,1,12,100,0,0,0,0.24,0.412,0.442,0.394,0.44,0.455,0.45,0.45,6.951,3.15,2258
06/17/2005,2005,168,55,431,174,18,19,171,1,12,100,0,0,0,0,0.366,0.427,0.382,0.434,0.451,0.449,0.45,6.782,3.33,2449
06/18/2005,2005,169,56,424,167,18,19,171,1,12,100,0,0,0,0,0.326,0.414,0.37,0.428,0.447,0.449,0.45,7.209,3.55,2689
06/19/2005,2005,170,57,417,160,18,19,171,1,12,100,0,0,0,0,0.288,0.399,0.357,0.421,0.442,0.449,0.45,7.057,3.77,2945
06/20/2005,2005,171,58,410,153,18,19,171,1,12,100,0,0,0,0,0.263,0.384,0.344,0.413,0.436,0.448,0.45,5.898,3.93,3142
06/21/2005,2005,172,59,405,147,18,19,171,1,12,100,0,0,0,0,0.253,0.371,0.332,0.406,0.43,0.448,0.45,7.22,4.18,3455
06/22/2005,2005,173,60,397,140,18,19,171,1,12,100,0,0,0,0,0.237,0.355,0.318,0.397,0.422,0.447,0.45,7.727,4.38,3739
06/23/2005,2005,174,61,415,157,18,19,171,2,37,100,0,0,0,0,0.429,0.441,0.336,0.385,0.412,0.446,0.45,6.71,4.54,3969
06/24/2005,2005,175,62,408,151,18,19,171,2,37,100,0,0,0,0,0.406,0.428,0.324,0.377,0.404,0.445,0.45,4.684,4.64,4145
06/25/2005,2005,176,63,404,147,18,19,172,2,37,100,0,0,0,0,0.411,0.418,0.318,0.37,0.399,0.444,0.45,7.075,4.71,4279
06/26/2005,2005,177,64,417,160,22,19,196,2,37,100,0,0,0,4.27,0.424,0.444,0.407,0.359,0.389,0.443,0.45,5.158,4.81,4470
06/27/2005,2005,178,65,417,160,23,19,202,2,37,100,0,0,0,0.12,0.434,0.454,0.41,0.354,0.382,0.442,0.45,6.909,4.98,4802
06/28/2005,2005,179,66,410,153,23,19,202,2,37,100,0,0,0,0,0.427,0.448,0.392,0.347,0.371,0.439,0.449,4.873,5.12,5110
06/29/2005,2005,180,67,438,181,23,19,202,3,69,100,0,0,0,0,0.439,0.455,0.447,0.473,0.367,0.437,0.449,6.8,5.27,5524
06/30/2005,2005,181,68,431,174,23,19,202,3,69,100,0,0,0,0,0.435,0.45,0.431,0.462,0.357,0.435,0.449,6.285,5.43,6050
07/01/2005,2005,182,69,448,191,31,19,233,3,69,100,0,0,0,7.97,0.44,0.454,0.445,0.473,0.447,0.432,0.448,6.834,5.52,6455
07/02/2005,2005,183,70,442,185,31,19,234,3,69,100,0,0,0,0,0.44,0.449,0.436,0.465,0.431,0.428,0.448,3.882,5.57,6779
07/03/2005,2005,184,71,438,181,31,19,234,3,69,100,0,0,0,0,0.438,0.445,0.43,0.46,0.424,0.425,0.447,6.463,5.62,7162
07/04/2005,2005,185,72,432,174,31,19,234,3,69,100,0,0,0,0,0.431,0.437,0.418,0.452,0.414,0.422,0.447,6.423,5.7,7635
07/05/2005,2005,186,73,425,168,31,19,234,3,69,100,0,0,0,0,0.424,0.429,0.405,0.443,0.405,0.419,0.446,5.211,5.74,8045
07/06/2005,2005,187,74,431,174,32,19,247,3,69,100,0,0,0,1.11,0.437,0.452,0.445,0.436,0.398,0.417,0.446,6.389,5.79,8473
07/07/2005,2005,188,75,425,168,32,19,247,3,69,100,0,0,0,0,0.434,0.448,0.431,0.426,0.389,0.414,0.445,6.32,5.84,8990
07/08/2005,2005,189,76,450,193,32,19,247,4,100,100,0,0,0,0,0.44,0.454,0.446,0.475,0.475,0.42,0.445,6.744,5.89,9476
07/09/2005,2005,190,77,443,186,32,19,247,4,100,100,0,0,0,0,0.436,0.449,0.438,0.462,0.462,0.417,0.443,6.521,5.9,9885
07/10/2005,2005,191,78,460,203,40,19,278,4,100,100,0,0,0,7.84,0.44,0.454,0.45,0.473,0.474,0.463,0.452,5.626,5.86,10087
07/11/2005,2005,192,79,454,197,40,19,278,4,100,100,0,0,0,0,0.435,0.447,0.442,0.465,0.467,0.455,0.453,6.039,5.84,10358
07/12/2005,2005,193,80,450,193,40,19,279,4,100,100,0,0,0,0,0.439,0.447,0.434,0.457,0.459,0.45,0.452,6.262,5.78,10496
07/13/2005,2005,194,81,463,206,40,30,279,5,131,91,0,0,0,0,0.441,0.453,0.448,0.474,0.475,0.465,0.466,6.151,5.74,10657
07/14/2005,2005,195,82,455,198,40,32,279,5,131,97,0,0,0,0,0.435,0.443,0.437,0.465,0.465,0.459,0.461,6.08,5.69,10772
07/15/2005,2005,196,83,463,206,47,41,311,5,131,91,0,0,0,7.86,0.439,0.451,0.448,0.476,0.476,0.466,0.466,6.611,5.64,10912
07/16/2005,2005,197,84,455,197,47,44,311,5,131,97,0,0,0,0,0.432,0.44,0.436,0.465,0.465,0.46,0.461,6.094,5.6,11059
07/17/2005,2005,198,85,463,206,51,46,332,5,131,91,0,0,0,3.68,0.438,0.45,0.448,0.476,0.476,0.466,0.466,6.847,5.58,11244
07/18/2005,2005,199,86,463,205,51,72,333,6,162,92,0,0,0,0,0.437,0.448,0.448,0.475,0.475,0.465,0.466,6.561,5.54,11366
07/19/2005,2005,200,87,454,197,51,74,333,6,162,98,0,0,0,0,0.43,0.437,0.436,0.466,0.465,0.459,0.46,6.139,5.52,11571
07/20/2005,2005,201,88,463,206,59,83,364,6,162,92,0,0,0,7.66,0.437,0.449,0.449,0.476,0.476,0.465,0.466,3.351,5.45,11962
07/21/2005,2005,202,89,458,201,59,85,364,6,162,97,0,0,0,0,0.434,0.444,0.443,0.47,0.47,0.461,0.461,7.893,5.39,12238
07/22/2005,2005,203,90,450,192,59,85,364,6,162,100,0,0,0,0,0.425,0.43,0.429,0.459,0.46,0.458,0.457,8.58,5.33,12605
07/23/2005,2005,204,91,441,184,59,85,364,6,162,100,0,0,0,0,0.411,0.415,0.414,0.449,0.45,0.455,0.455,7.843,5.27,12827
07/24/2005,2005,205,92,462,204,59,88,364,7,193,92,0,0,0,0,0.433,0.446,0.446,0.474,0.475,0.465,0.466,5.784,5.22,13185
07/25/2005,2005,206,93,464,207,111,127,463,7,193,91,0,0,0,52.28,0.439,0.445,0.445,0.479,0.48,0.466,0.467,3.359,5.17,13481
07/26/2005,2005,207,94,463,206,111,128,468,7,193,93,0,0,0,0.14,0.443,0.451,0.449,0.477,0.477,0.464,0.465,5.644,5.12,13900
07/27/2005,2005,208,95,456,199,111,130,468,7,193,98,0,0,0,0,0.436,0.442,0.439,0.467,0.468,0.459,0.46,6.186,5.07,14190
07/28/2005,2005,209,96,450,192,111,130,468,7,193,100,0,0,0,0,0.431,0.432,0.427,0.459,0.46,0.457,0.458,3.253,5.03,14601
07/29/2005,2005,210,97,446,189,111,130,468,7,193,100,0,0,0,0,0.426,0.426,0.42,0.455,0.456,0.456,0.457,6.463,4.99,14839
07/30/2005,2005,211,98,440,183,111,130,468,7,193,100,0,0,0,0,0.415,0.415,0.407,0.448,0.449,0.454,0.456,4.836,4.95,15088
07/31/2005,2005,212,99,435,178,111,130,468,7,193,100,0,0,0,0,0.406,0.406,0.398,0.442,0.444,0.453,0.455,4.128,4.91,15327
08/01/2005,2005,213,100,431,174,111,130,468,7,193,100,0,0,0,0,0.397,0.398,0.391,0.437,0.439,0.452,0.454,3.331,4.87,15649
08/02/2005,2005,214,101,428,170,111,130,468,7,193,100,0,0,0,0,0.389,0.392,0.385,0.433,0.435,0.451,0.454,5.643,4.84,15970
08/03/2005,2005,215,102,452,195,111,130,468,8,223,100,0,0,0,0,0.431,0.45,0.45,0.477,0.44,0.449,0.453,3.95,4.81,16308
08/04/2005,2005,216,103,448,191,111,130,469,8,223,100,0,0,0,0,0.43,0.443,0.443,0.47,0.438,0.448,0.452,5.698,4.78,16646
08/05/2005,2005,217,104,464,207,119,133,500,8,223,92,0,0,0,7.62,0.434,0.45,0.45,0.477,0.478,0.466,0.466,5.989,4.75,16984
08/06/2005,2005,218,105,455,198,119,135,500,8,223,97,0,0,0,0,0.427,0.441,0.441,0.469,0.461,0.46,0.461,6.075,4.72,17323
08/07/2005,2005,219,106,449,192,119,135,500,8,223,99,0,0,0,0,0.419,0.432,0.432,0.463,0.45,0.458,0.459,5.441,4.69,17661
08/08/2005,2005,220,107,444,187,119,135,500,8,223,100,0,0,0,0,0.41,0.421,0.421,0.458,0.443,0.457,0.458,5.899,4.67,17999
08/09/2005,2005,221,108,438,181,119,135,500,8,223,100,0,0,0,0,0.396,0.41,0.41,0.452,0.436,0.455,0.457,5.045,4.64,18337
08/10/2005,2005,222,109,448,191,120,135,517,8,223,100,0,0,0,1.68,0.431,0.45,0.448,0.453,0.43,0.454,0.456,3.129,4.62,18675
08/11/2005,2005,223,110,445,188,120,135,517,8,223,100,0,0,0,0,0.423,0.444,0.442,0.45,0.427,0.454,0.455,1.645,4.59,18991
08/12/2005,2005,224,111,443,186,120,135,517,8,223,100,0,0,0,0,0.418,0.441,0.438,0.448,0.425,0.453,0.455,3.001,4.57,19352
08/13/2005,2005,225,112,441,184,120,135,517,8,223,100,0,0,0,0,0.417,0.436,0.434,0.444,0.421,0.452,0.454,5.508,4.55,19655
08/14/2005,2005,226,113,435,178,120,135,517,8,223,100,0,0,0,0,0.404,0.428,0.425,0.437,0.414,0.451,0.453,5.322,4.53,20028
08/15/2005,2005,227,114,430,173,120,135,517,8,223,100,0,0,0,0,0.39,0.419,0.416,0.431,0.408,0.449,0.452,5.677,4.51,20367
08/16/2005,2005,228,115,424,167,120,135,517,8,223,100,0,0,0,0,0.375,0.408,0.405,0.425,0.403,0.448,0.45,3.172,4.49,20659
08/17/2005,2005,229,116,421,164,120,135,517,8,223,100,0,0,0,0,0.372,0.402,0.399,0.422,0.4,0.447,0.45,7.371,4.48,21043
08/18/2005,2005,230,117,445,188,120,135,517,9,254,100,0,0,0,0,0.425,0.446,0.446,0.477,0.414,0.445,0.448,2.947,4.46,21381
08/19/2005,2005,231,118,442,185,120,135,517,9,254,100,0,0,0,0,0.419,0.44,0.441,0.471,0.413,0.444,0.447,5.261,4.44,21719
08/20/2005,2005,232,119,461,204,128,135,549,9,254,100,0,0,0,7.53,0.435,0.45,0.45,0.479,0.479,0.463,0.452,4.703,4.43,22058
08/21/2005,2005,233,120,456,199,128,135,549,9,254,100,0,0,0,0,0.429,0.443,0.443,0.472,0.466,0.459,0.456,3.474,4.41,22396
08/22/2005,2005,234,121,452,195,128,135,549,9,254,100,0,0,0,0,0.424,0.438,0.438,0.469,0.46,0.458,0.455,3.463,4.4,22734
08/23/2005,2005,235,122,449,192,128,135,549,9,254,100,0,0,0,0,0.415,0.431,0.431,0.466,0.456,0.457,0.454,2.608,4.38,23072
08/24/2005,2005,236,123,446,189,128,135,549,9,254,100,0,0,0,0,0.408,0.426,0.426,0.464,0.453,0.456,0.453,3.488,4.37,23279
08/25/2005,2005,237,124,443,186,128,135,549,9,254,100,0,0,0,0,0.398,0.419,0.419,0.461,0.45,0.455,0.452,5.405,4.36,23685
08/26/2005,2005,238,125,441,184,128,135,553,9,254,100,0,0,0,0,0.428,0.425,0.409,0.457,0.445,0.454,0.451,4.776,4.34,24084
08/27/2005,2005,239,126,462,205,128,135,553,10,279,100,0,0,0,0,0.435,0.451,0.45,0.48,0.479,0.463,0.456,3.486,4.33,24425
08/28/2005,2005,240,127,457,200,128,136,553,10,279,100,0,0,0,0,0.425,0.448,0.441,0.474,0.471,0.46,0.457,5.502,4.32,24763
08/29/2005,2005,241,128,464,207,133,144,579,10,279,92,0,0,0,5.2,0.437,0.454,0.445,0.48,0.476,0.466,0.466,5.391,4.31,25102
08/30/2005,2005,242,129,456,199,133,147,579,10,279,98,0,0,0,0,0.43,0.446,0.432,0.472,0.468,0.46,0.46,4.815,4.3,25440
08/31/2005,2005,243,130,451,194,133,147,579,10,279,99,0,0,0,0,0.423,0.438,0.42,0.467,0.464,0.459,0.459,5.141,4.29,25778
09/01/2005,2005,244,131,446,189,133,147,579,10,279,100,0,0,0,0,0.415,0.43,0.407,0.463,0.459,0.457,0.457,4.488,4.28,26106
09/02/2005,2005,245,132,442,184,133,147,579,10,279,100,0,0,0,0,0.403,0.421,0.396,0.46,0.455,0.456,0.457,5.164,4.27,26380
09/03/2005,2005,246,133,436,179,133,147,579,10,279,100,0,0,0,0,0.388,0.411,0.385,0.456,0.451,0.455,0.456,5.402,4.26,26757
09/04/2005,2005,247,134,431,174,133,147,579,10,279,100,0,0,0,0,0.371,0.399,0.374,0.451,0.446,0.454,0.455,1.317,4.25,27120
09/05/2005,2005,248,135,434,177,133,147,583,10,279,100,0,0,0,0,0.441,0.406,0.371,0.45,0.445,0.454,0.454,2.136,4.24,27459
09/06/2005,2005,249,136,432,175,133,147,583,10,279,100,0,0,0,0,0.436,0.402,0.367,0.448,0.443,0.453,0.454,3.857,4.23,27797
09/07/2005,2005,250,137,430,172,133,147,584,10,279,100,0,0,0,0,0.437,0.403,0.359,0.445,0.439,0.452,0.453,4.904,4.23,28135
09/08/2005,2005,251,138,425,168,133,147,584,10,279,100,0,0,0,0,0.426,0.392,0.349,0.44,0.434,0.451,0.452,5.236,4.04,28473
09/09/2005,2005,252,139,419,162,133,147,584,10,279,100,0,0,0,0,0.412,0.382,0.339,0.435,0.43,0.45,0.451,5.226,3.92,28503
09/10/2005,2005,253,140,414,157,133,147,584,10,279,100,0,0,0,0,0.393,0.371,0.329,0.43,0.425,0.449,0.45,3.828,3.73,28845
09/11/2005,2005,254,141,410,153,133,147,584,10,279,100,0,0,0,0,0.378,0.364,0.323,0.427,0.422,0.448,0.449,4.437,3.59,29196
09/12/2005,2005,255,142,406,149,133,147,584,10,279,100,0,0,0,0,0.359,0.354,0.318,0.423,0.417,0.447,0.448,4.437,3.44,29556
,,,,,,,,,,,,,,,,,,,,,,,,3.29,29913
,,,,,,,,,,,,,,,,,,,,,,,,3.12,30253
,,,,,,,,,,,,,,,,,,,,,,,,2.95,30465
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
,,,,,,,,,,,,,,,,,,,,,,,,2.85,30800
