,ET,Formatted_Date,Date,LAID,AGB,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
25,4.16,09/06/2003,2003-06-09,0.15,78,0.466,0.437,0.438,0.409,0.34,0.378,0.379,0.4067142857142857
26,4.067,10/06/2003,2003-06-10,0.16,84,0.457,0.431,0.432,0.406,0.337,0.375,0.375,0.40185714285714286
27,3.017,11/06/2003,2003-06-11,0.19,94,0.414,0.426,0.43,0.405,0.337,0.375,0.375,0.3945714285714286
28,0.92,12/06/2003,2003-06-12,0.2,99,0.46,0.442,0.443,0.421,0.337,0.375,0.375,0.4075714285714286
29,4.415,13/06/2003,2003-06-13,0.22,110,0.445,0.434,0.435,0.421,0.334,0.372,0.372,0.4018571428571428
30,3.236,14/06/2003,2003-06-14,0.25,125,0.398,0.429,0.433,0.42,0.334,0.372,0.372,0.39399999999999996
31,3.13,15/06/2003,2003-06-15,0.3,145,0.357,0.424,0.43,0.419,0.334,0.371,0.372,0.3867142857142857
32,2.848,16/06/2003,2003-06-16,0.36,163,0.321,0.418,0.428,0.419,0.334,0.371,0.372,0.38042857142857145
33,2.82,17/06/2003,2003-06-17,0.43,198,0.295,0.411,0.424,0.417,0.334,0.371,0.372,0.37485714285714283
34,2.645,18/06/2003,2003-06-18,0.46,214,0.443,0.437,0.441,0.458,0.407,0.371,0.372,0.4184285714285714
35,5.593,19/06/2003,2003-06-19,0.51,238,0.419,0.429,0.432,0.45,0.408,0.368,0.369,0.4107142857142857
36,4.144,20/06/2003,2003-06-20,0.57,269,0.37,0.421,0.428,0.448,0.408,0.368,0.369,0.40171428571428563
37,3.427,21/06/2003,2003-06-21,0.64,313,0.337,0.414,0.424,0.448,0.407,0.368,0.369,0.3952857142857142
38,2.863,22/06/2003,2003-06-22,0.74,368,0.416,0.408,0.421,0.447,0.407,0.368,0.369,0.4051428571428571
39,4.517,23/06/2003,2003-06-23,0.87,441,0.376,0.398,0.415,0.446,0.406,0.368,0.368,0.3967142857142857
40,4.809,24/06/2003,2003-06-24,1.04,545,0.429,0.393,0.409,0.445,0.405,0.368,0.368,0.40242857142857147
41,2.269,25/06/2003,2003-06-25,1.15,612,0.412,0.388,0.406,0.444,0.404,0.368,0.368,0.3985714285714285
42,5.619,26/06/2003,2003-06-26,1.27,693,0.365,0.374,0.396,0.442,0.403,0.368,0.368,0.38799999999999996
43,5.958,27/06/2003,2003-06-27,1.45,817,0.368,0.361,0.384,0.44,0.401,0.368,0.368,0.3842857142857143
44,5.941,28/06/2003,2003-06-28,1.62,940,0.343,0.348,0.373,0.438,0.398,0.367,0.368,0.3764285714285714
45,5.666,29/06/2003,2003-06-29,1.79,1062,0.309,0.335,0.362,0.435,0.394,0.367,0.368,0.3671428571428571
46,6.186,30/06/2003,2003-06-30,1.95,1189,0.284,0.32,0.348,0.431,0.39,0.367,0.368,0.35828571428571426
47,6.171,01/07/2003,2003-07-01,2.15,1357,0.262,0.306,0.335,0.426,0.384,0.366,0.368,0.3495714285714286
48,6.554,02/07/2003,2003-07-02,2.43,1605,0.244,0.296,0.321,0.419,0.377,0.364,0.368,0.34128571428571425
49,7.913,03/07/2003,2003-07-03,2.75,1909,0.447,0.431,0.305,0.408,0.368,0.363,0.368,0.3842857142857143
50,5.951,04/07/2003,2003-07-04,3.04,2203,0.463,0.431,0.432,0.401,0.36,0.361,0.367,0.4021428571428572
51,5.985,05/07/2003,2003-07-05,3.27,2445,0.464,0.432,0.432,0.45,0.383,0.359,0.367,0.4124285714285714
52,7.494,06/07/2003,2003-07-06,3.48,2683,0.467,0.431,0.417,0.438,0.372,0.356,0.366,0.4067142857142857
53,6.422,07/07/2003,2003-07-07,3.71,2963,0.46,0.426,0.407,0.425,0.361,0.354,0.365,0.39971428571428574
54,6.593,08/07/2003,2003-07-08,3.99,3324,0.443,0.42,0.396,0.415,0.351,0.352,0.365,0.39171428571428574
55,4.865,09/07/2003,2003-07-09,4.2,3608,0.461,0.438,0.403,0.407,0.344,0.351,0.365,0.3955714285714286
56,6.977,10/07/2003,2003-07-10,4.4,3900,0.468,0.439,0.425,0.396,0.333,0.348,0.365,0.3962857142857143
57,6.663,11/07/2003,2003-07-11,4.56,4163,0.461,0.437,0.413,0.383,0.322,0.346,0.364,0.3894285714285714
58,6.391,12/07/2003,2003-07-12,4.68,4371,0.468,0.439,0.432,0.444,0.372,0.344,0.363,0.4088571428571428
59,6.609,13/07/2003,2003-07-13,5.0,4900,0.469,0.44,0.438,0.443,0.438,0.343,0.362,0.41900000000000004
60,6.697,14/07/2003,2003-07-14,5.19,5360,0.47,0.44,0.439,0.442,0.438,0.343,0.361,0.419
61,6.885,15/07/2003,2003-07-15,5.27,5651,0.468,0.439,0.439,0.448,0.438,0.461,0.36,0.4361428571428571
62,5.231,16/07/2003,2003-07-16,5.34,5979,0.46,0.435,0.435,0.443,0.428,0.455,0.359,0.4307142857142857
63,6.748,17/07/2003,2003-07-17,5.38,6238,0.466,0.438,0.438,0.45,0.445,0.472,0.417,0.44657142857142856
64,5.574,18/07/2003,2003-07-18,5.42,6537,0.457,0.433,0.433,0.443,0.435,0.467,0.416,0.44057142857142856
65,5.266,19/07/2003,2003-07-19,5.41,6711,0.466,0.438,0.438,0.451,0.449,0.476,0.477,0.4564285714285714
66,5.815,20/07/2003,2003-07-20,5.43,6998,0.456,0.432,0.432,0.444,0.441,0.469,0.469,0.44899999999999995
67,3.911,21/07/2003,2003-07-21,5.44,7245,0.449,0.428,0.428,0.439,0.435,0.466,0.467,0.44457142857142856
68,5.386,22/07/2003,2003-07-22,5.41,7355,0.464,0.437,0.437,0.451,0.45,0.476,0.478,0.45614285714285724
69,5.478,23/07/2003,2003-07-23,5.39,7506,0.453,0.43,0.43,0.443,0.442,0.469,0.472,0.4484285714285714
70,6.136,24/07/2003,2003-07-24,5.36,7649,0.463,0.436,0.436,0.45,0.45,0.476,0.478,0.45557142857142857
71,6.741,25/07/2003,2003-07-25,5.38,7953,0.45,0.427,0.427,0.441,0.44,0.468,0.471,0.4462857142857143
72,6.907,26/07/2003,2003-07-26,5.43,8385,0.436,0.419,0.419,0.432,0.431,0.464,0.469,0.43857142857142856
73,1.582,27/07/2003,2003-07-27,5.39,8481,0.471,0.441,0.441,0.456,0.456,0.479,0.479,0.46042857142857146
74,6.054,28/07/2003,2003-07-28,5.36,8619,0.463,0.436,0.436,0.451,0.451,0.475,0.477,0.45557142857142857
75,5.753,29/07/2003,2003-07-29,5.36,8821,0.452,0.428,0.428,0.444,0.444,0.468,0.47,0.4477142857142858
76,6.24,30/07/2003,2003-07-30,5.38,9144,0.439,0.42,0.42,0.436,0.436,0.464,0.468,0.4404285714285714
77,4.095,31/07/2003,2003-07-31,5.38,9404,0.466,0.435,0.417,0.431,0.431,0.462,0.467,0.44414285714285723
78,4.656,01/08/2003,2003-08-01,5.36,9535,0.47,0.44,0.435,0.452,0.452,0.477,0.478,0.4577142857142857
79,5.901,02/08/2003,2003-08-02,5.34,9698,0.465,0.437,0.434,0.448,0.446,0.47,0.473,0.4532857142857143
80,6.115,03/08/2003,2003-08-03,5.28,10158,0.456,0.431,0.426,0.44,0.437,0.465,0.468,0.4461428571428571
81,3.763,04/08/2003,2003-08-04,5.23,10416,0.448,0.426,0.421,0.436,0.432,0.463,0.466,0.4417142857142857
82,5.487,05/08/2003,2003-08-05,5.18,10796,0.462,0.435,0.417,0.429,0.425,0.46,0.465,0.44185714285714284
83,3.82,06/08/2003,2003-08-06,5.13,11050,0.455,0.432,0.411,0.424,0.419,0.458,0.463,0.43742857142857144
84,5.952,07/08/2003,2003-08-07,5.08,11478,0.467,0.439,0.434,0.45,0.449,0.476,0.477,0.45599999999999996
85,5.526,08/08/2003,2003-08-08,5.04,11858,0.456,0.433,0.426,0.443,0.442,0.469,0.47,0.44842857142857145
86,5.841,09/08/2003,2003-08-09,5.0,12238,0.464,0.437,0.434,0.451,0.451,0.476,0.477,0.4557142857142857
87,5.651,10/08/2003,2003-08-10,4.96,12566,0.452,0.43,0.425,0.445,0.445,0.469,0.47,0.448
88,4.924,11/08/2003,2003-08-11,4.92,12881,0.464,0.437,0.435,0.453,0.453,0.477,0.477,0.4565714285714285
89,5.68,12/08/2003,2003-08-12,4.88,13254,0.457,0.431,0.426,0.447,0.447,0.469,0.472,0.44985714285714284
90,4.551,13/08/2003,2003-08-13,4.85,13542,0.465,0.437,0.435,0.454,0.454,0.477,0.478,0.4571428571428572
91,4.887,14/08/2003,2003-08-14,4.81,13896,0.457,0.432,0.428,0.449,0.449,0.469,0.473,0.45099999999999996
92,5.9,15/08/2003,2003-08-15,4.78,14250,0.445,0.424,0.418,0.443,0.443,0.466,0.468,0.4438571428571429
93,6.118,16/08/2003,2003-08-16,4.75,14604,0.431,0.415,0.407,0.437,0.437,0.463,0.466,0.43657142857142855
94,6.068,17/08/2003,2003-08-17,4.72,14947,0.413,0.406,0.395,0.431,0.431,0.46,0.464,0.42857142857142855
95,4.207,18/08/2003,2003-08-18,4.7,15253,0.466,0.436,0.435,0.455,0.455,0.478,0.478,0.45757142857142846
96,3.939,19/08/2003,2003-08-19,4.67,15590,0.462,0.44,0.43,0.456,0.456,0.478,0.479,0.45728571428571435
97,5.4,20/08/2003,2003-08-20,4.65,15908,0.456,0.439,0.425,0.456,0.456,0.478,0.478,0.4554285714285714
98,5.113,21/08/2003,2003-08-21,4.62,16262,0.442,0.434,0.412,0.45,0.45,0.471,0.471,0.4471428571428572
99,5.069,22/08/2003,2003-08-22,4.6,16616,0.427,0.429,0.4,0.446,0.446,0.468,0.468,0.44057142857142856
100,5.326,23/08/2003,2003-08-23,4.58,16970,0.413,0.423,0.386,0.442,0.442,0.466,0.466,0.43400000000000005
101,5.713,24/08/2003,2003-08-24,4.56,17291,0.395,0.416,0.372,0.438,0.438,0.464,0.464,0.42671428571428566
102,6.056,25/08/2003,2003-08-25,4.54,17589,0.376,0.406,0.358,0.434,0.434,0.462,0.462,0.41885714285714293
103,5.205,26/08/2003,2003-08-26,4.52,17932,0.361,0.397,0.347,0.43,0.43,0.46,0.461,0.41228571428571426
104,5.543,27/08/2003,2003-08-27,4.5,18287,0.345,0.386,0.337,0.425,0.425,0.458,0.459,0.4050000000000001
105,4.409,28/08/2003,2003-08-28,4.48,18641,0.336,0.377,0.328,0.421,0.421,0.457,0.458,0.3997142857142858
106,5.104,29/08/2003,2003-08-29,4.46,18995,0.327,0.367,0.318,0.416,0.416,0.455,0.457,0.3937142857142857
107,2.363,30/08/2003,2003-08-30,4.45,19230,0.324,0.362,0.314,0.413,0.413,0.454,0.456,0.3908571428571429
108,1.301,31/08/2003,2003-08-31,4.43,19364,0.473,0.44,0.422,0.412,0.412,0.453,0.456,0.4382857142857142
109,4.867,01/09/2003,2003-09-01,4.41,19777,0.459,0.43,0.416,0.407,0.407,0.451,0.454,0.432
110,5.069,02/09/2003,2003-09-02,4.4,20189,0.445,0.421,0.407,0.402,0.402,0.45,0.452,0.4255714285714286
111,4.723,03/09/2003,2003-09-03,4.39,20593,0.462,0.437,0.435,0.453,0.444,0.447,0.451,0.44700000000000006
112,4.877,04/09/2003,2003-09-04,4.37,21008,0.456,0.434,0.431,0.445,0.437,0.444,0.448,0.4421428571428571
113,4.868,05/09/2003,2003-09-05,4.36,21408,0.444,0.43,0.426,0.439,0.43,0.441,0.445,0.4364285714285714
114,5.087,06/09/2003,2003-09-06,4.35,21813,0.428,0.424,0.42,0.434,0.424,0.437,0.443,0.43
115,4.908,07/09/2003,2003-09-07,4.33,22181,0.412,0.418,0.413,0.431,0.419,0.434,0.44,0.4238571428571429
116,4.855,08/09/2003,2003-09-08,4.32,22535,0.396,0.411,0.405,0.427,0.414,0.432,0.438,0.4175714285714286
117,1.664,09/09/2003,2003-09-09,4.31,22691,0.47,0.44,0.44,0.453,0.416,0.431,0.437,0.44099999999999995
118,1.338,10/09/2003,2003-09-10,4.3,22810,0.47,0.442,0.442,0.458,0.456,0.474,0.443,0.455
119,0.614,11/09/2003,2003-09-11,4.29,22874,0.472,0.443,0.443,0.458,0.457,0.479,0.479,0.46157142857142863
120,4.496,12/09/2003,2003-09-12,4.27,23273,0.463,0.437,0.437,0.453,0.444,0.469,0.469,0.4531428571428571
121,3.276,13/09/2003,2003-09-13,4.2,23611,0.456,0.433,0.433,0.45,0.44,0.466,0.467,0.44928571428571434
122,4.252,14/09/2003,2003-09-14,4.14,23992,0.44,0.427,0.427,0.447,0.435,0.464,0.465,0.44357142857142856
123,4.452,15/09/2003,2003-09-15,4.06,24386,0.422,0.42,0.42,0.445,0.431,0.462,0.464,0.4377142857142857
124,4.643,16/09/2003,2003-09-16,3.94,24772,0.404,0.412,0.413,0.442,0.426,0.46,0.462,0.43128571428571433
125,4.81,17/09/2003,2003-09-17,3.77,25148,0.386,0.403,0.404,0.439,0.421,0.459,0.461,0.4247142857142857
126,1.412,18/09/2003,2003-09-18,3.64,25294,0.427,0.4,0.402,0.438,0.42,0.458,0.46,0.4292857142857143
127,3.955,19/09/2003,2003-09-19,3.19,25614,0.413,0.392,0.394,0.436,0.417,0.457,0.459,0.42399999999999993
128,3.737,20/09/2003,2003-09-20,3.18,25941,0.398,0.385,0.387,0.434,0.413,0.456,0.458,0.4187142857142857
129,2.716,21/09/2003,2003-09-21,3.18,26182,0.464,0.432,0.382,0.432,0.411,0.455,0.458,0.43342857142857144
130,3.526,22/09/2003,2003-09-22,3.17,26487,0.457,0.425,0.376,0.43,0.407,0.453,0.456,0.4291428571428571
131,3.869,23/09/2003,2003-09-23,3.11,26842,0.442,0.418,0.369,0.427,0.404,0.452,0.455,0.4238571428571429
132,3.825,24/09/2003,2003-09-24,3.11,27171,0.427,0.413,0.361,0.424,0.4,0.451,0.454,0.4185714285714286
133,3.484,25/09/2003,2003-09-25,2.54,27452,0.413,0.408,0.355,0.422,0.397,0.45,0.453,0.414
134,2.804,26/09/2003,2003-09-26,2.54,27692,0.399,0.403,0.35,0.42,0.395,0.449,0.452,0.4097142857142857
135,2.742,27/09/2003,2003-09-27,2.49,27903,0.386,0.399,0.346,0.418,0.393,0.448,0.451,0.40585714285714286
136,2.936,28/09/2003,2003-09-28,2.21,28057,0.371,0.394,0.341,0.416,0.391,0.447,0.451,0.4015714285714286
137,0.705,29/09/2003,2003-09-29,1.16,28082,0.367,0.392,0.34,0.415,0.39,0.447,0.45,0.4001428571428572
138,2.152,30/09/2003,2003-09-30,0.98,28174,0.349,0.389,0.338,0.414,0.389,0.446,0.45,0.39642857142857146
139,3.318,01/10/2003,2003-10-01,0.53,28302,0.318,0.384,0.334,0.412,0.387,0.446,0.45,0.3901428571428572
140,2.532,02/10/2003,2003-10-02,0.29,28401,0.293,0.379,0.332,0.411,0.386,0.445,0.449,0.38499999999999995
141,2.012,03/10/2003,2003-10-03,0.29,28461,0.271,0.376,0.33,0.41,0.386,0.445,0.449,0.38099999999999995
142,1.981,04/10/2003,2003-10-04,0.27,28529,0.252,0.373,0.328,0.409,0.385,0.444,0.449,0.37714285714285717
143,1.869,05/10/2003,2003-10-05,0.27,28529,0.234,0.369,0.327,0.409,0.384,0.444,0.448,0.37357142857142855
144,1.77,06/10/2003,2003-10-06,0.27,28529,0.218,0.366,0.325,0.408,0.383,0.444,0.448,0.3702857142857143
145,1.657,07/10/2003,2003-10-07,0.27,28529,0.204,0.362,0.323,0.407,0.383,0.443,0.448,0.3671428571428571
146,1.405,08/10/2003,2003-10-08,0.27,28529,0.191,0.36,0.322,0.406,0.382,0.443,0.447,0.36442857142857144
147,1.511,09/10/2003,2003-10-09,0.27,28529,0.179,0.356,0.32,0.405,0.381,0.443,0.447,0.3615714285714286
