,Date,@YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,CWAD,ETAA,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
17,05/28/2007,2007,148,19,17,4,1,0.06,30,30,0,66,60,60,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,213.5,0.02,0,0.27,0.81,0.56,0.17,0,0,0,0,0,0,0,0,0,12.91,60,3.311,0.436,0.434,0.434,0.339,0.318,0.357,0.357,0.419857143
18,05/29/2007,2007,149,20,18,4,1,0.07,30,30,0,73,60,60,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,248.2,0.02,0,0.29,0.85,0.6,0.21,0,0,0,0,0,0,0,0,0,14.3,60,3.288,0.436,0.433,0.431,0.338,0.315,0.354,0.354,0.414
19,05/30/2007,2007,150,21,19,4,1,0.08,30,30,0,81,60,60,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0,0,0,0,275.9,0.02,0,0.3,0.89,0.64,0.26,0,0,0,0,0,0,0,0,0,9.71,60,3.37,0.436,0.434,0.43,0.335,0.313,0.351,0.351,0.408571429
20,05/31/2007,2007,151,22,20,5,1,0.09,30,30,0,92,60,60,0,0,0,0,0,0,0,0,0.757,0,0,0,0,0,0,0,0,296.2,0.02,0,0.31,0.88,0.66,0.31,0,0,0,0,0,0,0,0,0,11.22,60,3.407,0.435,0.434,0.434,0.427,0.31,0.348,0.348,0.403857143
21,06/01/2007,2007,152,23,21,5,1,0.1,30,30,0,100,60,60,0,0,0,0,0,0,0,0,0.643,0,0,0,0,0,0,0,0,325.1,0.02,0,0.32,0.94,0.72,0.37,0,0,0,0,0,0,0,0,0,10.29,60,3.456,0.431,0.429,0.43,0.423,0.308,0.345,0.345,0.400285714
22,06/02/2007,2007,153,24,22,5,1,0.1,30,30,0,114,60,60,0,0,0,0,0,0,0,0,0.743,0,0,0,0,0,0,0,0,342.1,0.02,0,0.32,1.02,0.8,0.46,0.01,0,0,0,0,0,0,0,0,9.49,60,3.504,0.435,0.434,0.434,0.452,0.31,0.342,0.342,0.396142857
23,06/03/2007,2007,154,25,23,5,1,0.11,33,30,0,127,63,63,0,0,0,0,0,0,0,0,0.697,0,0,0,0,0,0,0,0,334,0.03,0,0.33,1.11,0.88,0.54,0.01,0,0,0,0,0,0,0,0,12.54,60,3.555,0.435,0.433,0.434,0.454,0.319,0.339,0.34,0.392428571
24,06/04/2007,2007,155,26,24,5,1,0.12,38,30,0,144,68,68,0,0,0,0,0,0,0,0,0.732,0,0,0,0,0,0,0,0,325.7,0.03,0,0.34,1.21,0.99,0.65,0.02,0,0,0,0,0,0,0,0,14.95,60,3.584,0.435,0.433,0.434,0.454,0.323,0.337,0.337,0.388857143
25,06/05/2007,2007,156,27,25,6,1,0.14,43,30,0,167,73,73,0,0,0,0,0,0,0,0,0.608,0,0,0,0,0,0,0,0,316.7,0.03,0,0.35,1.34,1.13,0.79,0.04,0,0,0,0,0,0,0,0,12.11,60,2.432,0.43,0.428,0.429,0.45,0.321,0.334,0.334,0.385
26,06/06/2007,2007,157,28,26,6,1,0.17,56,30,0,183,86,86,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,300.1,0.04,0,0.38,1.43,1.22,0.88,0.06,0,0,0,0,0,0,0,0,16.64,66,2.42,0.398,0.425,0.428,0.45,0.321,0.334,0.334,0.381857143
27,06/07/2007,2007,158,29,27,6,1,0.2,71,30,0,210,101,101,0,0,0,0,0,0,0,0,0.357,0,0,0,0,0,0,0,0,285.8,0.05,0,0.4,1.59,1.38,1.04,0.1,0,0,0,0,0,0,0,0,15.51,76,2.305,0.361,0.421,0.427,0.449,0.321,0.334,0.334,0.378571429
28,06/08/2007,2007,159,30,28,6,1,0.23,84,30,0,246,114,114,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,276.2,0.06,0,0.41,1.79,1.58,1.24,0.17,0,0,0,0,0,0,0,0,11.07,92,2.212,0.328,0.418,0.426,0.449,0.321,0.334,0.334,0.392857143
29,06/09/2007,2007,160,31,29,7,1,0.27,104,30,0,282,134,134,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,264.3,0.07,0,0.43,1.99,1.78,1.44,0.24,0,0,0,0,0,0,0,0,14.16,110,2.115,0.298,0.413,0.424,0.449,0.32,0.334,0.334,0.388714286
30,06/10/2007,2007,161,32,30,7,1,0.34,134,30,0,312,164,164,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,250.7,0.08,0,0.45,2.09,1.95,1.62,0.31,0,0,0,0,0,0,0,0,17.22,133,2.063,0.273,0.408,0.422,0.448,0.32,0.334,0.334,0.384
31,06/11/2007,2007,162,33,31,7,2,0.42,161,30,0,349,191,191,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,257.8,0.1,0,0.47,2.13,2.17,1.84,0.41,0,0,0,0,0,0,0,0,16.97,133,2.009,0.252,0.403,0.42,0.448,0.32,0.334,0.334,0.379571429
32,06/12/2007,2007,163,34,32,8,2,0.51,206,30,0,378,236,236,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,244.9,0.12,0,0.49,2.28,2.32,1.99,0.47,0.02,0,0,0,0,0,0,0,17.11,146,1.389,0.233,0.396,0.418,0.447,0.32,0.334,0.334,0.383285714
33,06/13/2007,2007,164,35,33,8,2,0.55,232,30,0,381,262,262,0,0,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0,0,239.1,0.13,0,0.51,2.29,2.33,2,0.48,0.02,0,0,0,0,0,0,0,13.93,165,4.44,0.439,0.435,0.436,0.457,0.378,0.333,0.333,0.379142857
34,06/14/2007,2007,165,36,34,8,2,0.63,271,30,0,430,301,301,0,0,0,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,231.3,0.15,0,0.53,2.53,2.57,2.24,0.58,0.06,0,0,0,0,0,0,0,16.21,195,4.744,0.426,0.432,0.432,0.454,0.403,0.33,0.33,0.411285714
35,06/15/2007,2007,166,37,35,8,2,0.7,314,30,0,508,344,344,0,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0,0,0,224.2,0.17,0,0.55,2.92,2.96,2.63,0.74,0.15,0,0,0,0,0,0,0,18.21,232,3.653,0.412,0.426,0.426,0.449,0.399,0.327,0.327,0.406571429
36,06/16/2007,2007,167,38,36,9,3,0.81,379,30,0,587,409,409,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,214.6,0.19,0,0.57,3.31,3.34,3.02,0.9,0.26,0,0,0,0,0,0,0,18.83,265,3.373,0.37,0.419,0.422,0.448,0.398,0.327,0.327,0.400142857
37,06/17/2007,2007,168,39,37,9,3,0.94,451,31,0,659,481,481,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,208.2,0.22,0,0.59,3.65,3.68,3.36,1.04,0.37,0,0,0,0,0,0,0,17.85,305,2.524,0.332,0.413,0.418,0.447,0.397,0.327,0.327,0.424285714
38,06/18/2007,2007,169,40,38,9,3,1.04,511,32,0,688,542,542,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,203.6,0.25,0,0.61,3.78,3.82,3.5,1.1,0.42,0,0,0,0,0,0,0,13.29,370,3.161,0.302,0.408,0.416,0.446,0.397,0.327,0.327,0.433285714
39,06/19/2007,2007,170,41,39,10,3,1.16,583,33,0,779,616,616,0,0,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,198.8,0.28,0,0.62,4,4,3.94,1.28,0.57,0.01,0,0,0,0,0,0,13.95,458,3.775,0.275,0.4,0.411,0.445,0.396,0.327,0.327,0.427428571
40,06/20/2007,2007,171,42,40,10,3,1.33,687,37,0,891,724,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0.32,0,0.63,4,4,4,1.51,0.76,0.03,0,0,0,0,0,0,17.12,558,3.925,0.253,0.389,0.404,0.443,0.394,0.327,0.327,0.418857143
41,06/21/2007,2007,172,43,41,10,3,1.53,819,45,0,991,864,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.8,0.37,0,0.65,3.98,4,4,1.73,0.93,0.06,0,0,0,0,0,0,19.66,647,3.187,0.234,0.377,0.396,0.441,0.392,0.327,0.327,0.410714286
42,06/22/2007,2007,173,44,42,11,3,1.74,956,55,0,1037,1011,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.5,0.41,0,0.67,4,4,4,1.82,1,0.07,0,0,0,0,0,0,18.57,758,3.58,0.261,0.368,0.39,0.44,0.39,0.327,0.327,0.403142857
43,06/23/2007,2007,174,45,43,11,3,1.9,1068,67,0,1125,1135,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,0.45,0,0.68,4,4,4,1.99,1.14,0.11,0,0,0,0,0,0,14.1,909,4.816,0.242,0.359,0.382,0.438,0.389,0.327,0.327,0.431142857
44,06/24/2007,2007,175,46,44,11,3,2.08,1192,82,0,1269,1274,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.1,0.5,0,0.69,4,4,4,2.29,1.38,0.18,0,0,0,0,0,0,14.6,1066,5.15,0.225,0.345,0.371,0.436,0.386,0.327,0.327,0.433142857
45,06/25/2007,2007,176,47,45,11,3,2.31,1357,107,0,1395,1464,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.9,0.55,0,0.71,3.98,4,4,2.55,1.59,0.25,0,0,0,0,0,0,18,1214,5.332,0.209,0.331,0.358,0.433,0.382,0.327,0.327,0.428
46,06/26/2007,2007,177,48,46,12,3,2.58,1561,146,0,1503,1708,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.4,0.62,0,0.73,3.96,4,4,2.78,1.77,0.33,0,0,0,0,0,0,17.95,1341,4.237,0.195,0.316,0.345,0.429,0.378,0.327,0.327,0.422571429
47,06/27/2007,2007,178,49,47,12,3,2.82,1739,186,0,1576,1925,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0.67,0,0.74,3.94,4,4,2.93,1.88,0.38,0,0,0,0,0,0,15.2,1498,4.667,0.182,0.305,0.335,0.426,0.374,0.327,0.327,0.413571429
48,06/28/2007,2007,179,50,48,12,3,3,1883,222,0,1703,2105,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.5,0.72,0,0.75,4,4,4,3.17,2.06,0.48,0,0,0,0,0,0,12.05,1668,4.813,0.171,0.294,0.324,0.422,0.37,0.326,0.327,0.404571429
49,06/29/2007,2007,180,51,49,12,3,3.18,2021,260,0,1839,2281,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.4,0.76,0,0.76,4,4,4,3.45,2.27,0.59,0,0,0,0,0,0,11.35,1860,5.821,0.161,0.288,0.311,0.416,0.364,0.326,0.327,0.396142857
50,06/30/2007,2007,181,52,50,13,3,3.37,2172,307,0,2018,2479,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.2,0.81,0,0.77,4,4,4,3.77,2.49,0.74,0,0,0,0,0,0,12.3,2088,5.35,0.151,0.282,0.296,0.407,0.357,0.326,0.327,0.389142857
51,07/01/2007,2007,182,53,51,13,3,3.58,2336,364,0,2165,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0.85,0,0.78,4,4,4,4,2.68,0.87,0,0,0,0,0,0,13.15,2378,5.167,0.143,0.277,0.288,0.395,0.347,0.326,0.327,0.381714286
52,07/02/2007,2007,183,54,52,13,3,3.8,2523,436,0,2272,2960,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.8,0.91,0,0.8,4,4,4,4,2.81,0.98,0,0,0,0,0,0,14.75,2681,5.918,0.136,0.273,0.283,0.383,0.335,0.326,0.327,0.374285714
53,07/03/2007,2007,184,55,53,13,3,4.07,2746,535,0,2362,3280,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.3,0.97,0,0.81,4,4,4,4,2.92,1.08,0,0,0,0,0,0,17.3,2987,6.421,0.129,0.27,0.278,0.367,0.321,0.326,0.327,0.366428571
54,07/04/2007,2007,185,56,54,14,3,4.34,2972,647,0,2466,3619,3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.9,1.04,0,0.83,4,4,4,4,3.06,1.18,0.02,0,0,0,0,0,17.3,3330,6.704,0.123,0.266,0.274,0.345,0.31,0.325,0.327,0.359142857
55,07/05/2007,2007,186,57,55,14,3,4.58,3189,767,0,2588,3956,3956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.6,1.09,0,0.84,4,4,4,4,3.19,1.3,0.04,0,0,0,0,0,16.3,3590,6.542,0.118,0.262,0.27,0.317,0.302,0.325,0.327,0.353857143
56,07/06/2007,2007,187,58,56,14,3,4.83,3424,911,0,2676,4335,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1.15,0,0.86,4,4,4,4,3.28,1.39,0.07,0,0,0,0,0,17.4,3735,6.815,0.113,0.258,0.265,0.294,0.293,0.324,0.327,0.346
57,07/07/2007,2007,188,59,57,15,3,5.1,3694,1098,0,2747,4792,4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1.22,0,0.88,4,4,4,4,3.36,1.46,0.1,0,0,0,0,0,19.75,3959,3.933,0.108,0.251,0.256,0.279,0.28,0.321,0.327,0.338142857
58,07/08/2007,2007,189,60,58,15,3,5.34,3954,1298,0,2817,5252,5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.1,1.28,0,0.89,4,4,4,4,3.42,1.52,0.13,0,0,0,0,0,18.75,4253,2.86,0.105,0.247,0.251,0.273,0.274,0.318,0.327,0.331142857
59,07/09/2007,2007,190,61,59,15,3,5.43,4086,1409,0,2816,5494,5494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.9,1.3,0,0.91,4,4,4,4,3.42,1.53,0.14,0,0,0,0,0,16.4,4533,5.845,0.437,0.378,0.248,0.269,0.269,0.316,0.326,0.332571429
60,07/10/2007,2007,191,62,60,15,3,5.78,4465,1543,0,2831,6008,6008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.4,1.38,0,0.92,4,4,4,4,3.43,1.55,0.15,0,0,0,0,0,12.2,4794,5.702,0.416,0.339,0.246,0.267,0.268,0.315,0.326,0.325
61,07/11/2007,2007,192,63,61,16,3,5.98,4738,1770,0,2844,6508,6508,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,126.3,1.43,0,0.93,4,4,4,4,3.44,1.56,0.17,0,0,0,0,0,11.25,5342,3.148,0.385,0.303,0.246,0.266,0.267,0.314,0.326,0.332857143
62,07/12/2007,2007,193,64,62,16,3,6.02,4866,1920,0,2846,6786,6786,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0,0,123.8,1.44,0,0.94,4,4,4,4,3.44,1.57,0.18,0,0,0,0,0,13.9,5882,6.416,0.415,0.288,0.245,0.266,0.266,0.314,0.325,0.326285714
63,07/13/2007,2007,194,65,63,16,3,6.13,5059,2190,0,2913,7249,7249,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,121.1,1.46,0,0.95,4,4,4,4,3.49,1.63,0.23,0,0,0,0,0,12.45,6048,6.739,0.349,0.268,0.244,0.264,0.265,0.312,0.325,0.322857143
64,07/14/2007,2007,195,66,64,16,3,6.24,5269,2535,0,2929,7803,7803,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,118.4,1.49,0,0.97,4,4,4,4,3.51,1.65,0.25,0,0,0,0,0,15.9,6258,2.619,0.255,0.26,0.242,0.262,0.263,0.311,0.324,0.316
65,07/15/2007,2007,196,67,65,17,3,6.31,5449,2870,0,2943,8319,8319,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,115.9,1.51,0,0.98,4,4,4,4,3.51,1.67,0.27,0,0,0,0,0,16.4,6392,3.407,0.286,0.254,0.24,0.26,0.26,0.309,0.324,0.309571429
66,07/16/2007,2007,197,68,66,17,3,6.38,5624,3220,0,2960,8845,8853,0,0,0,8,0,0,0,0,0.132,0,0,0,0,0,0,0,8,113.4,1.52,0,1,4,4,4,4,3.52,1.69,0.3,0,0,0,0,0,16.9,6516,2.114,0.257,0.25,0.238,0.258,0.258,0.307,0.323,0.303857143
67,07/17/2007,2007,198,69,67,17,3,6.41,5781,3561,0,2973,9342,9359,0,0,0,17,0,0,0,0,0.086,0,0,0,0,0,0,0,17,110.9,1.53,0,1,4,4,4,4,3.52,1.7,0.32,0,0,0,0,0,19.15,6636,1.829,0.249,0.246,0.237,0.256,0.256,0.305,0.322,0.3
68,07/18/2007,2007,199,70,68,18,3,6.41,5899,3842,0,2981,9740,9766,0,0,0,25,0,0,0,0,0.035,0,0,0,0,0,0,0,25,108.6,1.53,0,1,4,4,4,4,3.52,1.71,0.34,0,0,0,0,0,20.75,7061,1.596,0.243,0.243,0.235,0.255,0.255,0.303,0.321,0.294571429
69,07/19/2007,2007,200,71,69,18,3,6.38,5991,4071,0,2985,10062,10098,0,0,0,36,0,0,0,0,0.141,0,0,0,0,0,0,0,36,106.4,1.53,0,1,4,4,4,4,3.52,1.72,0.35,0,0,0,0,0,16.15,7531,5.264,0.435,0.267,0.234,0.253,0.253,0.302,0.32,0.289142857
70,07/20/2007,2007,201,72,70,18,3,6.37,6110,4365,0,2996,10474,10537,0,0,0,63,0,0,0,0,0.155,0,0,0,0,0,0.01,0,63,104.3,1.53,0,1,4,4,4,4,3.52,1.73,0.37,0,0,0,0,0,15.5,7664,6.015,0.36,0.261,0.233,0.252,0.252,0.301,0.319,0.284428571
71,07/21/2007,2007,202,73,71,18,3,6.38,6232,4669,0,3033,10902,11007,0,0,0,105,0,0,0,0,0.132,0,0,0,0,0,0.01,0,105,102.3,1.53,0,1,4,4,4,4,3.54,1.76,0.41,0,0,0,0,0,16.35,7774,2.035,0.265,0.256,0.232,0.251,0.251,0.3,0.318,0.280428571
72,07/22/2007,2007,203,74,72,19,3,6.36,6341,4951,0,3042,11292,11437,0,0,0,145,0,0,0,0,0.106,0,0,0,0,0,0.01,0,145,100.3,1.53,0,1,4,4,4,4,3.54,1.77,0.43,0,0,0,0,0,17.7,7843,1.679,0.254,0.251,0.231,0.25,0.25,0.298,0.317,0.277
73,07/23/2007,2007,204,75,73,19,3,6.34,6443,5217,0,3050,11660,11855,0,0,0,195,0,0,0,0,0.075,0,0,0,0,0,0.02,0,195,98.4,1.53,0,1,4,4,4,4,3.54,1.78,0.45,0,0,0,0,0,18,7923,1.437,0.246,0.247,0.23,0.249,0.249,0.297,0.316,0.274142857
74,07/24/2007,2007,205,76,74,19,3,6.34,6563,5498,0,3062,12060,12342,0,0,0,282,0,0,0,0,0.033,0,0,0,0,0,0.02,0,282,96.6,1.53,0,1,4,4,4,4,3.54,1.8,0.47,0,0,0,0,0,17.65,7973,1.284,0.239,0.244,0.23,0.248,0.248,0.296,0.315,0.271428571
75,07/25/2007,2007,206,77,75,19,3,6.33,6668,5728,0,3071,12396,12770,0,0,0,374,0,0,0,0,0.134,0,0,0,0,0,0.03,0,374,94.9,1.53,0,1,4,4,4,4,3.54,1.8,0.48,0,0,0,0,0,18.85,8014,1.013,0.233,0.242,0.23,0.247,0.247,0.295,0.314,0.269142857
76,07/26/2007,2007,207,78,76,19,3,6.33,6793,5932,0,3088,12725,13274,0,0,0,550,0,0,0,0,0.157,0,0,0,0,0,0.04,0,550,93.2,1.53,0,1,4,4,4,4,3.54,1.82,0.51,0,0,0,0,0,18.4,8290,0.927,0.226,0.239,0.23,0.247,0.247,0.294,0.313,0.296285714
77,07/27/2007,2007,208,79,77,19,3,6.31,6893,6062,0,3102,12955,13680,0,0,0,725,0,0,0,0,0.289,0,0,0,0,0,0.05,0,725,91.6,1.53,0,1,4,4,4,4,3.55,1.83,0.53,0,0,0,0,0,17.55,8483,3.562,0.434,0.291,0.23,0.247,0.247,0.293,0.312,0.282
78,07/28/2007,2007,209,80,78,19,3,6.26,6959,6173,0,3102,13132,13948,0,0,0,816,0,0,0,0,0.265,0,0,0,0,0,0.06,0,816,89.9,1.53,0,1,4,4,4,4,3.54,1.84,0.54,0,0,0,0,0,16.3,8872,2.403,0.4,0.279,0.23,0.247,0.247,0.292,0.311,0.266428571
79,07/29/2007,2007,210,81,79,19,3,6.19,7010,6266,0,3098,13275,14154,0,0,0,879,0,0,0,0,0.238,0,0,0,0,0,0.06,0,879,88.4,1.53,0,1,4,4,4,4,3.53,1.84,0.55,0,0,0,0,0,15.4,9044,5.029,0.365,0.273,0.229,0.247,0.247,0.292,0.311,0.264
80,07/30/2007,2007,211,82,80,19,4,6.09,6937,6501,0,3100,13438,14491,0,0,0,1054,0,0,0,0,0.305,0,0,0,0,0,0.07,0,1054,87.7,1.53,0,1,4,4,4,4,3.53,1.84,0.56,0,0,0,0,0,16.75,9072,2.929,0.287,0.265,0.229,0.247,0.247,0.292,0.31,0.262
81,07/31/2007,2007,212,83,81,19,4,5.98,6858,6746,0,3106,13604,14901,0,0,0,1297,0,0,0,0,0.253,0,0,0,0,0,0.09,0,1297,87.3,1.53,0,1,4,4,4,4,3.54,1.84,0.57,0,0,0,0,0,15.9,9452,1.32,0.253,0.256,0.229,0.247,0.247,0.291,0.309,0.306857143
